sep= 
 ID_CONJUNTO	NOME_CONJUNTO	AGRUPAMENTO	STATUS_DO_EMPREENDIMENTO	STATUS_DA_REGULARIZAÇÃO	UNIDADES_A_INICIAR	UNIDADES_EM_ANDAMENTO	UNIDADES_CONCLUÍDAS	PROGRAMA_E/OU_DEMANDA	PROGRAMA_EXTERNO_E/OU_FONTE_RECURSO	PREVISÃO_ANO_CONCLUSÃO	ANO_PRIMEIRA_ENTREGA_UH	ANO_ÚLTIMA_ENTREGA_UH	COD_FAIXA_RENDA_MCMV_CH	
"421"	"Residencial Ponto Verano"	""	"Obra em andamento"	""	""	"180"	""	"MCMV"	""	"2021"	""	""	""
"69"	"Residencial Por do Sol 1 (AR11)"	"35"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"387"	"Residencial Por do Sol 2 (AR11)"	"35"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"388"	"Residencial Por do Sol 3 (AR11)"	"35"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"389"	"Residencial Por do Sol 4 (AR11)"	"35"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"390"	"Residencial Por do Sol 5 (AR11)"	"35"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"391"	"Residencial Por do Sol 6 (AR11)"	"35"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"392"	"Residencial Por do Sol 7 (AR11)"	"35"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"228"	"Residencial Quaresmeira"	"19"	"Obra concluída"	""	""	""	"32"	"Vila Viva"	""	""	"2020"	""	""
"194"	"Residencial Quaresmeira (Vila Estrela / Condomínio A)"	""	"Obra concluída"	""	""	""	"24"	"OP"	"PBH"	""	"2015"	"2015"	""
"33"	"Residencial Recanto do Beija Flor"	"2"	"Obra concluída"	""	""	""	"140"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida I"	""	"2013"	"2013"	"10"
"32"	"Residencial Recanto dos Canários"	"2"	"Obra concluída"	""	""	""	"290"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida I"	""	"2013"	"2013"	"10"
"419"	"Residencial Recanto dos Pinheiros"	""	"Obra em andamento"	""	""	"71"	""	"MCMV"	""	"2021"	""	""	"15"
"21"	"Residencial Sabiá"	""	"Em estudo"	""	"168"	""	""	"MCMV"	""	""	""	""	"15"
"20"	"Residencial Safira"	"3"	"Obra concluída"	""	""	""	"220"	"MCMV"	"FGTS; Programa Minha Casa, Minha Vida I"	""	"2017"	"2017"	"20"
"417"	"Residencial Safira"	""	"Obra concluída"	""	""	""	"24"	"MCMV"	""	""	"2019"	"2019"	"15"
"8"	"Residencial Serras de Minas - Condomínio 01"	"12"	"Obra concluída"	""	""	""	"300"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida II"	""	"2016"	"2016"	"10"
"9"	"Residencial Serras de Minas - Condomínio 02"	"12"	"Obra concluída"	""	""	""	"280"	"MCMV"	"FAR; Programa Minha Casa, Minha Vida II"	""	"2016"	"2016"	"10"
"229"	"Residencial Sucupira"	"19"	"Obra concluída"	""	""	""	"24"	"Vila Viva"	""	""	"2020"	"2020"	""
"423"	"Residencial Tamariz"	""	"Obra em andamento"	""	""	"109"	""	"MCMV"	""	""	""	""	""
"40"	"Residencial Terra Nova"	""	"Cancelado"	""	"140"	""	""	"MCMV"	""	""	""	""	"15"
"134"	"Residencial Trevo/Bandoneon"	""	"Obra concluída"	""	""	""	"48"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2009"	"2009"	""
"18"	"Residencial Turquesa"	"3"	"Obra concluída"	""	""	""	"380"	"MCMV"	"FGTS; Programa Minha Casa, Minha Vida I"	""	"2015"	"2015"	"20"
"175"	"Residencial União"	""	"Obra concluída"	""	""	""	"32"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2013"	"2013"	""
"100"	"Residencial Vila Nova"	""	"Obra concluída"	""	""	""	"8"	"Alvorada / Intervenção Estruturante"	"Habitar Brasil"	""	"2008"	"2008"	""
"169"	"Residencial Vitória"	""	"Obra concluída"	""	""	""	"8"	"Convênio Estado -> Linha Verde"	"PBH"	""	"2013"	"2013"	""
"211"	"Residencial Vitória (Novo Ouro Preto)"	""	"Obra concluída"	"Obra em andamento"	"8"	""	"8"	"OP"	"PBH"	""	""	"2019"	""
"301"	"Residencial Vivere Vitória I"	"23"	"Em estudo"	"Obra em andamento"	"80"	""	""	"MCMV"	""	""	""	""	"20"
"302"	"Residencial Vivere Vitória II"	"23"	"Em estudo"	"Obra em andamento"	"304"	""	""	"MCMV"	""	""	""	""	"15"
"104"	"Resplendor"	""	"Obra concluída"	""	""	""	"16"	"Alvorada / Intervenção Estruturante"	"Alvorada"	""	"1999"	"1999"	""
"157"	"Ricci Pace"	""	"Obra concluída"	""	""	""	"144"	"Drenurbs"	"PAC Drenagem; Saneamento Para Todos"	""	"2012"	"2012"	""
"363"	"Rosa de Saron e Bom Jardim (Coronel Jorge Dário 5-15)"	"26"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2010"	"2010"	""
"322"	"Rosas (São João B34)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"330"	"Roseiral (São João E31)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"27"	"Rua Engenho do Sol"	""	"Em estudo"	"Obra em andamento"	"60"	""	""	"MCMV"	""	""	""	""	"15"
"23"	"Rua Mar de Rosas"	""	"Em estudo"	"Obra em andamento"	"72"	""	""	"MCMV"	""	""	""	""	"15"
"170"	"Rubi I (Bloco 10 )"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2013"	"2013"	""
"401"	"Rubi II (Bloco 11)"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2013"	"2013"	""
"109"	"Safira"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"8"	"Vila Viva"	"BNDES; PAC 1"	""	"2010"	"2010"	""
"149"	"Santa Rosa I"	""	"Obra concluída"	""	""	""	"56"	"OPH"	"Crédito Solidário"	""	"2012"	"2012"	""
"148"	"Santa Rosa II"	""	"Obra concluída"	""	""	""	"50"	"OPH"	"Crédito Solidário"	""	"2011"	"2011"	""
"408"	"Santa Terezinha I"	"18"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2011"	"2011"	""
"244"	"Santa Terezinha II"	"18"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2010"	"2010"	""
"243"	"Santa Terezinha III"	"18"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2011"	"2011"	""
"303"	"Santa Terezinha IV"	"18"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2011"	"2011"	""
"188"	"Santa Terezinha V"	"18"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2015"	"2015"	""
"326"	"São João D5"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"328"	"São João D6"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"351"	"São João e Atlântico (São João K35-36)"	"29"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"335"	"São João G10"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"333"	"São João G8"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"341"	"São João H11"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"342"	"São João H12"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"343"	"São João H13"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"345"	"São João I15-16"	"29"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"336"	"São João M26"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"287"	"São José (Quarteirão 113)"	"13"	"Obra concluída"	""	""	""	"128"	"Vila Viva"	"PAC 1; PPI"	""	"2009"	"2010"	""
"288"	"São José (Quarteirão 115)"	"13"	"Obra concluída"	""	""	""	"384"	"Intervenção Pública -> Programa Pedro II; Vila Viva"	"PAC 1; PBH; PPI"	""	"2001"	"2010"	""
"126"	"São José (Quarteirão 48)"	"13"	"Obra concluída"	""	""	""	"304"	"Vila Viva"	"PAC 1; PPI"	""	"2011"	"2011"	""
"214"	"Serra Verde"	""	"Obra concluída"	""	""	""	"48"	"Convênio Estado -> Serra Verde"	"Estado de Minas Gerais"	""	"2015"	"2015"	""
"413"	"Tiradentes "	""	"Em estudo"	""	"8"	""	""	"OP"	""	""	""	""	""
"399"	"Topázio I (Bloco 3)"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2010"	"2010"	""
"107"	"Topázio II (Bloco 4)"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2010"	"2010"	""
"238"	"Turmalina"	"38"	"Cancelado"	""	""	""	""	"Vila Viva"	""	""	""	""	""
"151"	"Turquesa (Bloco 7)"	"38"	"Obra concluída"	"Obra em andamento"	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2011"	"2011"	""
"405"	"União (Mem de Sá 4)"	"24"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1"	""	"2007"	"2007"	""
"350"	"União (São João J21)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"340"	"União (São João L22)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"198"	"Universo em Desencanto (Conjunto 4)"	"16"	"Obra concluída"	""	""	""	"88"	"Vila Viva"	"PAC 1; Pró-moradia"	""	"2015"	"2015"	""
"133"	"Vale do Sol e Ômega (Coronel Jorge Dário 12-13)"	"26"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2010"	"2010"	""
"329"	"Vale dos Cristais (São João E30)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"50"	"Vila Alpes I"	""	"Obra concluída"	""	""	""	"80"	"OP"	"Saneamento Para Todos"	""	"2008"	"2008"	""
"131"	"Vila da Serra (São João A1)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"222"	"Vila Mangueiras Rua F"	""	"Projeto concluído"	""	"8"	""	""	"OP"	"PBH"	"2018"	""	""	""
"210"	"Vila Paquetá"	""	"Cancelado"	""	""	""	""	"OP"	"PBH"	""	""	""	""
"366"	"Vila Rica (Coronel Jorge Dário 4)"	"26"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2010"	"2010"	""
"334"	"Vila Rica (São João G9)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"239"	"Vila São Rafael"	""	"Em estudo"	""	"20"	""	""	"OP"	"PBH"	"2018"	""	""	""
"240"	"Vila Sumaré"	""	"Em estudo"	""	"8"	""	""	"OP"	""	""	""	""	""
"364"	"Village do Cerrado e Acácias (Coronel Jorge Dário 10-11)"	"26"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"PAC 1; Saneamento Para Todos"	""	"2010"	"2010"	""
"422"	"Village Toscana"	""	"Projeto concluído"	""	"84"	""	""	"MCMV"	""	"2021"	""	""	""
"327"	"Vista do Sol (São João E29)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"338"	"Vista Real (São João M24)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"323"	"Vitória (São João C2)"	"29"	"Obra concluída"	""	""	""	"8"	"Vila Viva"	"BNDES; PAC 1; Saneamento Para Todos"	""	"2007"	"2008"	""
"308"	"Viver e Renascer (Mem de Sá 2)"	"24"	"Obra concluída"	""	""	""	"16"	"Vila Viva"	"BNDES; PAC 1"	""	"2007"	"2007"	""
"114"	"Zilah I (Ubirajara)"	""	"Obra concluída"	"Projeto concluído"	""	""	"100"	"OPH"	"Pró-moradia"	""	"1998"	"1998"	""
"115"	"Zilah II"	""	"Obra concluída"	"Obra em andamento"	""	""	"16"	"OPH"	"Pró-moradia"	""	"1998"	"1998"	""
"116"	"Zilah III"	""	"Obra concluída"	"Obra em andamento"	""	""	"16"	"OPH"	"PBH"	""	"2003"	"2003"	""
